date,close,congestion
2024-12-25,3393.35,0.3872
2024-12-26,3398.08,0.4085
2024-12-27,3400.14,0.4039
2024-12-30,3407.33,0.396
2024-12-31,3351.76,0.3895
2025-01-02,3262.56,0.3856
2025-01-03,3211.43,0.363
2025-01-06,3209.78,0.3722
2025-01-07,3203.31,0.3994
2025-01-08,3218.86,0.3906
2025-01-09,3220.72,0.4121
2025-01-10,3211.71,0.4088
2025-01-13,3148.83,0.4064
2025-01-14,3165.16,0.3989
2025-01-15,3234.72,0.4118
2025-01-16,3239.03,0.4192
2025-01-17,3226.76,0.4052
2025-01-20,3256.15,0.3947
2025-01-21,3256.83,0.424
2025-01-22,3235.49,0.4389
2025-01-23,3237.6,0.419
2025-01-24,3252.63,0.411
2025-01-27,3250.6,0.4117
2025-02-05,3229.49,0.4374
2025-02-06,3270.66,0.4273
2025-02-07,3303.67,0.4261
2025-02-10,3322.17,0.4137
2025-02-11,3318.06,0.4169
2025-02-12,3346.39,0.4206
2025-02-13,3332.48,0.4303
2025-02-14,3346.72,0.4303
2025-02-17,3355.83,0.423
2025-02-18,3324.49,0.406
2025-02-19,3351.54,0.4248
